%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1711478709018675747,1169,1711478709018461465,world,-1.0894519177216946,0.35481955282589184,0.9615410577984544,0.0,0.0,-0.7779707523585278,0.6283004921808563
1711478709038672800,1170,1711478709038457632,world,-1.0832826233893462,0.3408674356385666,0.9620781223104633,0.0,0.0,-0.7780300488658255,0.6282270632994421
1711478709058640553,1171,1711478709058454275,world,-1.0772239713994334,0.32722361062184524,0.9625369266720699,0.0,0.0,-0.7781088682617964,0.6281294366070949
1711478709078640046,1172,1711478709078455924,world,-1.0711101013785718,0.31351057088886547,0.9629297055011381,0.0,0.0,-0.7782105840243688,0.6280034131375806
1711478709098722687,1173,1711478709098459720,world,-1.0650304507390087,0.29992611158757265,0.9632489603429093,0.0,0.0,-0.778335353014371,0.6278487702050507
1711478709118734506,1174,1711478709118502616,world,-1.0589335982242545,0.28635208305549226,0.9634961522314327,0.0,0.0,-0.7784857196567967,0.6276623170865361
1711478709138710134,1175,1711478709138497829,world,-1.0528049907839108,0.2727536624228395,0.9636692826658582,0.0,0.0,-0.7786639650619631,0.6274411761384344
1711478709158677498,1176,1711478709158456563,world,-1.0468145177429489,0.25950374532477044,0.9637636970936927,0.0,0.0,-0.7788658087818527,0.6271906025368926
1711478709178647158,1177,1711478709178463459,world,-1.040790358561381,0.24621837966402033,0.9637820977286249,0.0,0.0,-0.7790976437976607,0.6269025932542739
1711478709198818093,1178,1711478709198573350,world,-1.0347682642529112,0.23297392344275564,0.9637216414107028,0.0,0.0,-0.7793597140565712,0.6265767599469833
1711478709218703900,1179,1711478709218473672,world,-1.0287787107726347,0.21983432145323978,0.9635810081125192,0.0,0.0,-0.7796518928459597,0.626213163373074
1711478709238624153,1180,1711478709238462448,world,-1.0228330865329915,0.20682168628389333,0.9633597960084606,0.0,0.0,-0.7799745308398136,0.6258112584807122
1711478709258676489,1181,1711478709258458375,world,-1.0169144641696466,0.19389832713586042,0.9630575962901955,0.0,0.0,-0.7803294770952625,0.6253686170381707
